gene_id	Control_12h	Stress_12h	Stress_12_h2
Cre01.g000033.v5.5	2.91605	11.3468	2.074385549315948
Cre01.g000250.v5.5	13.3712	2.51642	2.433565746090267
Cre01.g000300.v5.5	2.53515	5.0382	1.1497926347992558
Cre01.g000150.v5.5	21.137	0.776829	4.232645408889053
Cre01.g000200.v5.5	2.03132	23.9194	1.7194112740994298
Cre01.g000050.v5.5	2.20962	2.80378	2.1485534560738078
CRv4_Au5_s1_g981_t1	3.53525	3.99838	1.3443399427354907
Cre01.g000400.v5.5	18.6597	16.6812	4.642343452559046
Cre01.g000100.v5.5	2.474	1.87372	4.2406501557564855
Cre01.g000450.v5.5	5.99658	0.0168367	2.8076434322157278
Cre01.g000500.v5.5	2.98707	5.90304	3.814129960657383
Cre01.g000550.v5.5	1.53025	11.2809	0.06715310219609355
Cre01.g000700.v5.5	0.126057	2.76239	1.9490941200095901
Cre01.g000800.v5.5	36.5829	2.15231	1.419150525066071
Cre01.g000750.v5.5	1.89624	7.81555	2.502348425229785
Cre01.g000600.v5.5	3.3857	2.46863	2.6131332066235284
CRv4_Au5_s1_g987_t1	0.846141	7.21717	1.7271537170354243
Cre01.g000950.v5.5	0.515331	38.1385	6.0015297979033795
Cre01.g001000.v5.5	15.5932	0.0685928	0.39017900127882116
Cre01.g000850.v5.5	1.59653	0.0883861	0.10423492945220014
Cre01.g000900.v5.5	51.3062	53.1439	5.651155044733416
Cre01.g001100.v5.5	3.08259	23.4486	5.470484804792314
Cre01.g001150.v5.5	0.62583	5.67781	2.465151697923194
Cre01.g001350.v5.5	49.1038	1.30939	1.5244498810967761
Cre01.g001250.v5.5	0.463992	11.6569	4.120625654832813
Cre01.g001450.v5.5	0.544431	0.454328	0.3712488241050928
Cre01.g001300.v5.5	0.519426	1.44633	0.9618922112133155
Cre01.g001501.v5.5	12.4499	10.0529	3.2232603534737305
Cre01.g001400.v5.5	9.26042	1.55808	2.147352291131146
Cre01.g001200.v5.5	5.05105	1.42957	1.5093005982866958
Cre01.g001650.v5.5	1.8737	10.6302	2.881862315678136
Cre01.g001600.v5.5	0.125421	24.2331	1.5106530988673699
Cre01.g001671.v5.5	20.929	0.473937	4.681466132266721
Cre01.g001657.v5.5	17.9725	0.0490352	0.07723137527630115
